patients_ahead,queue_length,active_doctors,avg_consultation_time,emergency_load,is_walk_in,hour,waiting_time
13,29,1,10.84,2,1,16,155.74
5,18,5,15.53,5,1,16,79.57
10,28,3,15.01,10,1,13,173.18
18,18,2,14.38,8,1,13,281.39
14,13,1,20.35,4,0,16,290.71
9,1,3,24.73,3,1,8,219.83
8,30,5,16.69,9,0,9,136.91
11,5,2,12.5,9,0,11,145.62
9,3,5,14.8,3,0,13,118.6
5,16,5,21.93,1,1,8,99.97
18,13,1,21.26,5,1,14,396.38
3,28,2,20.71,9,0,18,86.91
12,2,3,16.91,5,0,13,199.0
7,5,1,19.45,6,1,17,149.42
2,8,4,12.93,6,0,10,20.21
15,19,1,17.32,4,0,14,272.3
4,25,2,16.18,3,1,14,77.73
6,18,5,24.95,8,0,11,145.42
13,11,5,9.52,10,1,14,125.95
6,11,3,18.1,0,1,10,106.95
19,27,4,18.59,7,0,11,357.78
11,5,1,9.91,0,0,17,110.78
9,1,3,19.79,1,1,15,168.36
10,7,5,11.6,8,1,16,113.35
4,23,1,14.4,10,0,12,80.81
9,7,5,12.61,7,0,9,104.89
8,22,3,22.69,0,1,18,179.41
12,17,1,23.37,7,0,10,294.88
14,18,1,8.68,8,1,13,144.36
5,1,3,19.63,5,1,11,101.63
16,9,1,18.64,6,0,16,314.21
7,5,3,23.25,10,0,9,172.56
16,22,5,22.84,10,0,14,368.78
4,14,3,23.47,5,1,16,95.18
20,5,5,17.2,3,0,12,329.45
16,30,2,15.31,2,0,13,249.66
17,24,1,11.13,2,0,13,204.02
13,14,3,15.53,10,1,10,219.7
3,5,2,8.45,9,1,17,39.51
7,20,2,11.93,0,1,9,88.36
15,5,5,22.38,7,1,10,333.79
15,16,2,10.78,3,0,14,168.41
0,30,3,24.15,3,0,11,1.66
14,28,5,16.33,5,1,11,229.88
1,20,4,20.24,6,0,16,18.34
14,27,1,22.92,3,1,8,338.99
16,25,1,11.23,7,1,12,206.88
9,15,2,15.18,9,0,16,156.17
14,27,4,9.54,8,0,10,145.81
17,5,4,15.03,7,0,10,251.56
6,29,4,9.53,5,0,9,57.61
14,21,3,9.45,6,0,14,140.31
1,25,2,23.51,9,0,10,47.7
5,25,1,15.13,4,1,12,95.43
3,29,2,24.33,0,1,8,80.07
15,18,1,18.34,7,0,11,293.92
15,15,4,15.51,9,0,11,242.0
8,20,5,21.94,3,0,10,163.02
20,12,1,10.47,0,1,13,217.63
1,4,4,24.89,2,1,17,15.5
19,19,5,11.02,7,1,8,206.74
9,11,3,23.26,1,1,16,200.47
15,5,1,19.81,4,1,16,304.77
6,23,2,18.4,1,0,15,116.17
19,30,3,15.26,5,1,16,303.69
19,12,2,18.44,7,1,15,366.5
19,8,3,24.65,0,0,8,456.95
3,24,2,21.59,6,1,8,80.12
17,26,2,8.19,3,1,12,154.17
9,10,5,17.35,0,0,18,134.48
12,24,5,18.47,0,0,11,206.97
10,30,4,23.57,0,0,15,227.3
14,29,5,23.23,7,1,8,335.08
9,19,3,17.44,0,0,17,153.3
11,3,2,12.77,0,1,14,136.21
5,19,5,14.62,9,0,12,77.67
10,23,1,12.62,1,1,11,136.37
9,7,5,13.14,1,1,8,104.53
2,15,5,8.42,7,0,11,11.75
15,24,5,13.28,5,0,9,199.36
16,22,2,11.49,0,1,14,189.95
16,4,1,13.29,0,0,13,209.26
1,4,5,21.03,4,0,17,8.61
20,29,2,13.45,3,1,12,282.92
14,22,1,12.64,2,1,9,185.04
19,18,5,9.74,8,1,16,186.25
4,23,3,17.76,2,0,12,72.67
10,18,4,8.86,0,1,18,76.13
12,2,1,15.25,2,1,17,184.56
10,27,2,20.12,10,0,15,225.37
2,27,4,9.65,4,1,15,21.12
7,5,5,12.39,5,1,10,79.2
10,26,3,15.71,0,0,15,151.19
15,15,2,12.8,5,0,16,195.5
3,11,5,19.04,4,1,14,49.53
7,20,2,17.32,7,1,9,136.61
18,14,4,17.64,5,0,10,316.19
2,24,5,22.22,1,1,13,37.0
14,6,3,24.25,1,0,18,332.64
12,11,4,18.96,0,0,11,216.25
18,29,1,20.87,10,0,15,405.48
12,20,5,15.6,3,1,12,181.92
9,30,4,20.2,5,0,17,181.9
16,13,2,22.49,0,1,16,364.06
0,23,5,21.95,5,0,12,0.16
7,14,5,14.7,5,1,14,96.73
17,7,2,16.07,3,1,13,279.14
4,10,2,10.28,1,0,10,40.34
15,22,4,24.57,2,0,10,365.04
13,28,4,23.19,9,1,17,313.28
16,14,5,21.94,6,1,11,344.92
19,1,5,16.47,3,1,14,301.67
18,12,1,24.63,9,1,13,461.47
15,23,1,10.42,8,1,15,181.9
16,29,5,9.5,7,0,18,156.89
18,10,5,8.9,5,0,15,149.69
15,19,3,15.16,4,1,10,228.21
19,24,3,20.36,9,1,8,406.1
18,6,5,8.88,4,0,12,145.64
4,17,1,22.47,4,1,10,105.56
8,28,3,8.24,1,0,17,69.32
14,12,2,12.44,3,1,10,182.17
1,11,1,24.44,9,0,15,45.47
13,25,4,12.05,7,0,11,163.86
11,2,3,20.84,1,0,10,216.92
15,10,4,20.68,8,0,14,313.1
12,16,3,10.47,6,0,12,134.88
14,13,3,24.35,10,0,9,356.58
20,12,4,18.38,10,1,13,374.27
3,9,5,14.65,10,0,18,44.34
6,17,3,19.52,2,1,16,112.73
0,27,1,8.2,1,0,18,9.96
7,24,3,12.28,0,0,17,78.9
19,22,2,24.16,10,0,9,475.87
19,5,4,19.16,10,0,9,368.47
8,10,4,19.23,1,1,12,146.52
10,9,2,21.27,4,0,14,214.11
1,9,3,11.02,1,1,11,6.63
5,21,4,9.84,8,1,11,59.86
3,30,4,20.16,1,0,9,53.19
8,25,4,8.32,7,0,18,74.46
1,22,4,12.53,5,1,17,11.57
15,16,4,14.87,1,0,8,211.84
15,4,5,17.1,5,1,18,244.53
1,21,1,14.21,5,0,15,32.32
9,21,2,11.0,0,1,18,99.43
12,29,1,18.72,5,1,9,251.0
14,24,2,10.38,3,0,17,150.69
12,3,5,18.94,7,1,8,216.13
1,11,1,14.89,3,1,18,28.1
17,5,5,11.96,1,0,10,182.72
0,16,5,8.78,10,0,8,0.0
1,29,3,21.95,1,1,17,23.16
18,3,1,9.94,9,0,9,196.48
13,11,4,13.51,10,0,13,184.52
6,25,1,18.08,5,0,9,123.73
13,6,3,17.41,7,0,17,223.71
3,26,5,14.39,2,0,15,30.99
0,6,1,20.01,9,1,14,20.94
15,23,2,11.5,10,1,16,196.58
7,6,5,19.76,9,0,15,135.43
2,21,3,13.91,0,0,11,19.5
16,4,5,14.15,8,0,15,222.14
6,9,1,11.29,2,1,15,71.02
1,2,3,12.85,6,1,13,15.01
14,2,1,20.59,8,0,10,303.07
15,17,1,9.2,3,1,17,151.37
13,7,3,11.91,1,1,11,144.32
13,28,2,14.38,3,0,15,197.84
1,29,4,10.46,9,1,10,24.84
4,15,2,18.74,4,0,13,76.75
18,2,3,10.32,7,1,14,185.48
10,8,3,18.26,10,0,17,196.32
7,3,4,22.57,7,0,17,153.21
14,9,1,20.41,3,0,13,290.59
7,29,5,24.09,9,0,14,180.91
1,16,5,8.57,8,1,15,13.67
3,15,4,12.09,8,0,14,44.27
4,12,3,12.06,1,0,15,42.95
5,23,4,22.58,9,0,15,122.06
4,28,4,11.14,5,1,18,46.59
20,3,4,23.19,5,0,12,454.53
8,23,5,17.22,3,0,17,134.08
1,17,3,23.1,1,1,13,21.25
1,12,3,10.98,8,0,16,20.07
6,5,3,12.06,1,1,17,68.55
6,25,2,13.45,4,1,12,89.73
11,12,4,16.27,8,0,15,183.02
17,29,3,15.68,5,0,11,280.04
14,3,1,14.64,2,1,9,204.58
8,4,2,16.44,3,0,12,128.67
17,30,2,16.06,6,1,18,288.17
6,3,1,22.82,3,1,14,143.21
20,21,3,16.26,10,1,15,341.83
4,29,3,10.92,4,0,15,49.9
9,25,1,10.52,4,1,10,114.38
5,23,5,12.85,2,0,10,52.13
1,11,5,10.15,4,1,10,0.0
1,22,3,24.63,2,1,15,28.03
5,18,3,10.07,0,1,15,50.01
14,30,3,10.65,8,1,18,170.2
15,29,3,24.48,9,0,17,387.03
14,11,1,20.44,0,0,18,287.14
9,1,4,18.5,3,1,13,151.91
1,20,2,17.92,3,1,11,22.14
17,28,4,19.51,1,1,11,330.58
19,20,5,24.04,10,1,14,461.2
13,12,4,14.34,4,1,13,181.48
14,28,5,9.49,7,1,15,136.73
13,24,4,10.37,9,0,10,141.92
15,28,5,24.77,1,1,9,360.66
20,30,3,15.05,8,1,17,322.49
4,7,2,22.15,4,1,8,96.32
9,27,5,13.17,8,1,11,121.27
0,5,3,13.1,10,1,9,12.04
9,14,2,16.36,10,0,8,160.45
8,16,1,18.18,5,1,17,160.81
8,21,4,24.56,1,1,16,194.33
0,28,3,10.77,0,0,13,0.0
4,12,2,8.9,5,1,18,48.72
11,2,3,12.96,10,0,16,145.48
20,6,1,18.18,2,1,13,371.85
9,9,3,9.63,9,1,10,92.29
16,10,3,21.24,6,1,10,340.86
4,17,2,22.14,8,0,14,102.65
2,4,2,23.7,7,1,12,58.31
4,27,4,23.13,9,1,10,109.1
0,24,1,11.78,2,0,12,7.25
4,3,4,19.74,1,0,8,65.22
13,2,2,9.83,10,0,15,135.02
8,2,1,13.13,0,0,9,105.22
6,19,2,11.14,5,0,9,72.8
8,19,3,13.99,8,0,16,123.1
3,27,5,20.98,8,0,11,72.07
5,29,5,8.07,1,0,16,35.38
15,12,5,11.15,10,0,10,171.55
12,14,2,16.74,6,0,13,206.14
3,17,2,16.43,5,1,16,63.01
2,11,4,9.97,4,1,17,18.8
14,8,5,14.92,6,0,9,203.88
15,22,3,11.05,10,1,18,180.77
14,17,1,10.03,6,1,17,163.65
5,3,3,24.58,5,0,17,122.83
12,4,2,22.25,7,1,17,276.91
20,13,3,16.09,9,1,15,334.4
4,25,4,9.84,4,1,15,40.15
4,1,1,20.54,1,1,18,77.94
5,13,5,19.55,2,1,17,87.46
2,22,5,21.05,7,0,12,43.72
15,17,3,17.22,8,0,8,272.73
3,13,4,13.35,6,1,15,36.9
5,18,3,23.04,2,1,14,112.54
12,16,1,17.67,7,1,15,232.67
5,17,1,14.65,7,1,17,95.53
9,11,1,8.48,0,0,13,75.3
18,1,3,14.47,6,1,13,260.07
1,22,2,12.21,10,1,17,32.06
2,28,3,9.95,2,0,16,21.15
14,22,4,17.66,6,1,8,255.16
18,1,3,14.42,6,1,17,256.06
15,4,2,13.71,8,1,10,217.82
11,14,2,16.45,1,0,12,177.58
9,19,4,21.68,9,0,17,198.55
10,9,1,17.63,8,1,14,191.89
2,21,3,16.58,4,1,18,40.06
6,14,4,12.27,8,1,18,82.26
5,29,1,18.67,8,0,17,118.86
14,9,5,21.75,6,0,16,293.03
14,5,2,10.56,10,1,14,162.42
2,21,2,22.38,4,1,18,52.87
19,8,4,12.05,2,0,8,214.49
9,15,4,17.52,6,1,18,164.21
6,6,3,10.32,4,1,18,61.42
20,28,1,24.38,7,0,8,514.28
2,11,5,13.07,1,1,13,13.35
2,13,2,12.01,9,0,16,40.17
18,25,5,12.28,1,0,17,206.78
10,11,5,20.53,3,1,11,191.27
5,7,3,15.47,4,0,15,74.19
3,11,5,15.2,10,0,12,49.91
4,12,4,20.17,4,0,18,79.33
19,2,1,19.74,10,0,12,391.62
9,21,3,23.35,10,0,16,229.35
14,13,1,23.47,6,1,12,340.93
7,10,2,22.61,2,1,18,158.44
20,14,1,12.66,1,1,15,262.54
10,23,4,22.9,1,0,12,222.61
11,14,5,20.4,8,1,15,227.32
1,21,2,18.71,10,0,8,38.22
20,10,3,17.79,1,0,11,347.94
20,25,2,22.4,10,1,13,472.98
4,9,2,19.69,5,1,11,82.09
11,6,4,22.9,9,0,8,257.37
17,21,5,18.65,1,1,11,305.21
5,2,4,18.51,9,1,10,90.42
11,6,5,9.99,8,1,15,110.22
15,4,2,20.13,3,1,12,305.42
12,5,4,22.56,9,0,12,273.46
6,14,2,14.94,2,0,12,95.43
7,20,4,23.42,5,1,9,162.08
4,28,3,24.56,6,0,14,111.34
19,9,1,9.62,0,0,13,186.59
15,30,3,24.94,10,0,8,391.71
19,13,3,24.62,10,1,10,486.92
17,2,5,11.05,2,1,13,174.62
